false,true
0.530938,0.469062
0.532934,0.467066
0.53493,0.46507
0.536926,0.463074
0.538922,0.461078
0.540918,0.459082
0.542914,0.457086
0.54491,0.45509
0.546906,0.453094
0.548902,0.451098
0.550898,0.449102
0.552894,0.447106
0.55489,0.44511
0.556886,0.443114
0.558882,0.441118
0.560878,0.439122
0.562874,0.437126
0.56487,0.43513
0.566866,0.433134
0.568862,0.431138
0.570858,0.429142
0.572854,0.427146
0.57485,0.42515
0.576846,0.423154
0.578842,0.421158
0.580838,0.419162
0.582834,0.417166
0.58483,0.41517
0.586826,0.413174
0.588822,0.411178
0.590818,0.409182
0.592814,0.407186
0.59481,0.40519
0.596806,0.403194
0.598802,0.401198
0.600798,0.399202
0.602794,0.397206
0.60479,0.39521
0.606786,0.393214
0.608782,0.391218
0.610778,0.389222
0.612774,0.387226
0.61477,0.38523
0.616766,0.383234
0.618762,0.381238
0.620758,0.379242
0.622754,0.377246
0.62475,0.37525
0.626747,0.373253
0.626747,0.373253
0.628743,0.371257
0.630739,0.369261
0.632735,0.367265
0.634731,0.365269
0.634731,0.365269
0.636727,0.363273
0.636727,0.363273
0.638723,0.361277
0.640719,0.359281
0.642715,0.357285
0.644711,0.355289
0.646707,0.353293
0.648703,0.351297
0.650699,0.349301
0.652695,0.347305
0.654691,0.345309
0.656687,0.343313
0.658683,0.341317
0.660679,0.339321
0.662675,0.337325
0.664671,0.335329
0.666667,0.333333
0.668663,0.331337
0.670659,0.329341
0.672655,0.327345
0.674651,0.325349
0.676647,0.323353
0.678643,0.321357
0.680639,0.319361
0.682635,0.317365
0.682635,0.317365
0.682635,0.317365
0.682635,0.317365
0.682635,0.317365
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
