false,true
0.516966,0.483034
0.518962,0.481038
0.520958,0.479042
0.522954,0.477046
0.52495,0.47505
0.526946,0.473054
0.528942,0.471058
0.530938,0.469062
0.532934,0.467066
0.53493,0.46507
0.536926,0.463074
0.538922,0.461078
0.540918,0.459082
0.542914,0.457086
0.54491,0.45509
0.546906,0.453094
0.548902,0.451098
0.550898,0.449102
0.552894,0.447106
0.55489,0.44511
0.556886,0.443114
0.558882,0.441118
0.560878,0.439122
0.562874,0.437126
0.56487,0.43513
0.566866,0.433134
0.568862,0.431138
0.570858,0.429142
0.572854,0.427146
0.57485,0.42515
0.576846,0.423154
0.578842,0.421158
0.580838,0.419162
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.582834,0.417166
0.58483,0.41517
0.586826,0.413174
0.588822,0.411178
0.590818,0.409182
0.592814,0.407186
0.59481,0.40519
0.596806,0.403194
0.598802,0.401198
0.600798,0.399202
0.602794,0.397206
0.60479,0.39521
0.606786,0.393214
0.608782,0.391218
0.610778,0.389222
0.612774,0.387226
0.61477,0.38523
0.616766,0.383234
0.618762,0.381238
0.620758,0.379242
0.622754,0.377246
0.62475,0.37525
0.626747,0.373253
0.628743,0.371257
0.630739,0.369261
0.632735,0.367265
0.634731,0.365269
0.636727,0.363273
0.638723,0.361277
0.640719,0.359281
0.642715,0.357285
0.644711,0.355289
0.646707,0.353293
0.648703,0.351297
0.650699,0.349301
0.652695,0.347305
0.654691,0.345309
0.656687,0.343313
0.658683,0.341317
0.660679,0.339321
0.662675,0.337325
0.664671,0.335329
0.666667,0.333333
0.668663,0.331337
0.670659,0.329341
0.672655,0.327345
0.674651,0.325349
0.676647,0.323353
0.678643,0.321357
0.680639,0.319361
0.682635,0.317365
0.684631,0.315369
0.686627,0.313373
0.688623,0.311377
0.690619,0.309381
0.692615,0.307385
0.694611,0.305389
0.696607,0.303393
0.698603,0.301397
0.700599,0.299401
0.702595,0.297405
0.704591,0.295409
0.706587,0.293413
0.708583,0.291417
0.710579,0.289421
0.712575,0.287425
0.714571,0.285429
0.716567,0.283433
0.718563,0.281437
0.720559,0.279441
0.722555,0.277445
0.724551,0.275449
0.726547,0.273453
0.728543,0.271457
0.730539,0.269461
0.732535,0.267465
0.734531,0.265469
0.736527,0.263473
0.738523,0.261477
0.740519,0.259481
0.742515,0.257485
0.744511,0.255489
0.746507,0.253493
0.748503,0.251497
0.750499,0.249501
0.752495,0.247505
0.754491,0.245509
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.756487,0.243513
0.758483,0.241517
0.760479,0.239521
0.762475,0.237525
0.764471,0.235529
0.766467,0.233533
0.768463,0.231537
0.770459,0.229541
0.772455,0.227545
0.774451,0.225549
0.776447,0.223553
0.778443,0.221557
0.780439,0.219561
0.782435,0.217565
0.784431,0.215569
0.786427,0.213573
0.788423,0.211577
0.790419,0.209581
0.792415,0.207585
0.794411,0.205589
0.796407,0.203593
0.798403,0.201597
0.800399,0.199601
0.802395,0.197605
0.804391,0.195609
0.806387,0.193613
0.808383,0.191617
0.810379,0.189621
0.812375,0.187625
0.814371,0.185629
0.816367,0.183633
0.818363,0.181637
0.820359,0.179641
0.822355,0.177645
0.824351,0.175649
0.826347,0.173653
0.828343,0.171657
0.830339,0.169661
0.832335,0.167665
0.834331,0.165669
0.836327,0.163673
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.838323,0.161677
0.836327,0.163673
0.834331,0.165669
0.832335,0.167665
0.830339,0.169661
0.828343,0.171657
0.826347,0.173653
0.824351,0.175649
0.822355,0.177645
0.820359,0.179641
0.818363,0.181637
0.816367,0.183633
0.814371,0.185629
0.812375,0.187625
0.810379,0.189621
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.808383,0.191617
0.806387,0.193613
0.804391,0.195609
0.802395,0.197605
0.800399,0.199601
0.798403,0.201597
0.796407,0.203593
0.794411,0.205589
0.792415,0.207585
0.792415,0.207585
0.792415,0.207585
0.790419,0.209581
0.788423,0.211577
0.786427,0.213573
0.784431,0.215569
0.782435,0.217565
0.782435,0.217565
0.782435,0.217565
0.780439,0.219561
0.780439,0.219561
0.778443,0.221557
0.776447,0.223553
0.774451,0.225549
0.772455,0.227545
0.772455,0.227545
0.772455,0.227545
0.772455,0.227545
0.772455,0.227545
0.772455,0.227545
0.770459,0.229541
0.770459,0.229541
0.768463,0.231537
0.768463,0.231537
0.768463,0.231537
0.768463,0.231537
0.766467,0.233533
0.764471,0.235529
0.762475,0.237525
0.760479,0.239521
0.760479,0.239521
0.758483,0.241517
0.756487,0.243513
0.754491,0.245509
0.752495,0.247505
0.750499,0.249501
0.748503,0.251497
0.748503,0.251497
0.748503,0.251497
0.746507,0.253493
0.744511,0.255489
0.744511,0.255489
0.744511,0.255489
0.744511,0.255489
0.742515,0.257485
0.742515,0.257485
0.740519,0.259481
0.740519,0.259481
0.738523,0.261477
0.738523,0.261477
0.738523,0.261477
0.736527,0.263473
0.736527,0.263473
0.734531,0.265469
0.732535,0.267465
0.730539,0.269461
0.728543,0.271457
0.726547,0.273453
0.724551,0.275449
0.722555,0.277445
0.720559,0.279441
0.718563,0.281437
0.718563,0.281437
0.716567,0.283433
0.716567,0.283433
0.716567,0.283433
0.714571,0.285429
0.714571,0.285429
0.712575,0.287425
0.710579,0.289421
0.708583,0.291417
0.706587,0.293413
0.704591,0.295409
0.704591,0.295409
0.702595,0.297405
0.700599,0.299401
0.698603,0.301397
0.698603,0.301397
0.698603,0.301397
0.696607,0.303393
0.694611,0.305389
0.694611,0.305389
0.694611,0.305389
0.692615,0.307385
0.690619,0.309381
0.688623,0.311377
0.688623,0.311377
0.686627,0.313373
0.684631,0.315369
0.684631,0.315369
0.684631,0.315369
0.684631,0.315369
0.684631,0.315369
0.682635,0.317365
0.680639,0.319361
0.678643,0.321357
0.676647,0.323353
0.674651,0.325349
0.674651,0.325349
0.674651,0.325349
0.672655,0.327345
0.672655,0.327345
0.672655,0.327345
0.672655,0.327345
0.670659,0.329341
0.670659,0.329341
0.670659,0.329341
0.668663,0.331337
0.668663,0.331337
0.668663,0.331337
0.668663,0.331337
0.666667,0.333333
0.666667,0.333333
0.666667,0.333333
0.664671,0.335329
0.662675,0.337325
0.660679,0.339321
0.658683,0.341317
0.658683,0.341317
0.656687,0.343313
0.654691,0.345309
0.654691,0.345309
0.654691,0.345309
0.652695,0.347305
0.650699,0.349301
0.648703,0.351297
0.648703,0.351297
0.648703,0.351297
0.646707,0.353293
0.646707,0.353293
0.646707,0.353293
0.644711,0.355289
0.642715,0.357285
0.640719,0.359281
0.640719,0.359281
0.640719,0.359281
0.638723,0.361277
0.638723,0.361277
0.636727,0.363273
0.634731,0.365269
0.632735,0.367265
0.630739,0.369261
0.630739,0.369261
0.630739,0.369261
0.630739,0.369261
0.630739,0.369261
0.628743,0.371257
0.626747,0.373253
0.62475,0.37525
0.62475,0.37525
0.62475,0.37525
0.622754,0.377246
0.622754,0.377246
0.622754,0.377246
0.620758,0.379242
0.620758,0.379242
0.618762,0.381238
0.618762,0.381238
0.618762,0.381238
0.616766,0.383234
0.61477,0.38523
0.612774,0.387226
0.610778,0.389222
0.608782,0.391218
0.608782,0.391218
0.606786,0.393214
0.60479,0.39521
0.60479,0.39521
0.60479,0.39521
0.60479,0.39521
0.60479,0.39521
0.60479,0.39521
0.602794,0.397206
0.602794,0.397206
0.602794,0.397206
0.602794,0.397206
0.602794,0.397206
0.602794,0.397206
0.602794,0.397206
0.600798,0.399202
0.598802,0.401198
0.596806,0.403194
0.596806,0.403194
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.59481,0.40519
0.592814,0.407186
0.590818,0.409182
0.590818,0.409182
0.590818,0.409182
